"","county","agegp","edugp","ideal","intend","npop"
"16807",511112,"25-34","primary and below",1.76187577712344,1.6950955260651,7989.40672001853
"16808",511112,"25-34","secondary",1.70466607686834,1.44435131989207,7435.49955611595
"16809",511112,"25-34","hs and above",1.66629001101768,1.32344662265556,3048.09372386552
"16810",511112,"35-49","primary and below",1.81789014609995,1.51944043600196,21181.6804806814
"16811",511112,"35-49","secondary",1.73196072523402,1.24586490033811,19713.1503415977
"16812",511112,"35-49","hs and above",1.62108773544252,1.12639461871889,8081.16917772088
"16813",511123,"15-24","primary and below",1.7600479187452,1.63594980238727,12650.9076670679
"16814",511123,"15-24","secondary",1.66534454268713,1.41187014344252,8276.16130726366
"16815",511123,"15-24","hs and above",1.62557624438157,1.24405936439899,2702.93102566843
"16816",511123,"25-34","primary and below",1.82395250823483,1.81674635666171,10522.7926447829
"16817",511123,"25-34","secondary",1.79062020506517,1.50164731887962,6883.95897140361
"16818",511123,"25-34","hs and above",1.70008292421114,1.37542751322424,2248.2483838135
"16819",511123,"35-49","primary and below",1.89742056693757,1.5502192122822,35597.6090432083
"16820",511123,"35-49","secondary",1.79494791232403,1.39982631300995,23287.7800034392
"16821",511123,"35-49","hs and above",1.74046887840308,1.20871804520417,7605.61095335251
"16822",511124,"15-24","primary and below",1.95869979806456,1.62178578297456,8086.54036863332
"16823",511124,"15-24","secondary",1.83969149931277,1.42131552712436,4555.78905283465
"16824",511124,"15-24","hs and above",1.79006611688158,1.21889785199408,1473.67057853204
"16825",511124,"25-34","primary and below",2.02045558821805,1.75333818958812,6592.51250795071
"16826",511124,"25-34","secondary",1.93233941654336,1.58408552339397,3714.0847563064
"16827",511124,"25-34","hs and above",1.88692835747945,1.40309828297673,1201.40273574289
"16828",511124,"35-49","primary and below",2.05183397953163,1.59244186331319,23289.1904325885
"16829",511124,"35-49","secondary",1.97577407801688,1.40663564233497,13120.6466530136
"16830",511124,"35-49","hs and above",1.95155131422895,1.22184864837325,4244.16291439795
"16831",511126,"15-24","primary and below",1.82377473957463,1.70245135065156,9320.15185441879
"16832",511126,"15-24","secondary",1.75198095832592,1.50871092068446,8750.98899966235
"16833",511126,"15-24","hs and above",1.69236949925783,1.2923510302675,3171.85914591886
"16834",511126,"25-34","primary and below",1.92599943457834,1.79110177579236,8811.65230165923
"16835",511126,"25-34","secondary",1.83753006918439,1.64581859990575,8273.54248784158
"16836",511126,"25-34","hs and above",1.82725036992607,1.43886607676717,2998.80521049919
"16837",511126,"35-49","primary and below",1.95574782853083,1.68653948599996,23598.0646632665
"16838",511126,"35-49","secondary",1.90971790773678,1.4363325512797,22156.9785028404
"16839",511126,"35-49","hs and above",1.80202612785331,1.28815711439051,8030.95683389313
"16840",511129,"15-24","primary and below",1.88942193458798,1.81788778032805,7903.35559640128
"16841",511129,"15-24","secondary",1.76645884632837,1.58987456272792,3768.33255296508
"16842",511129,"15-24","hs and above",1.72874618066841,1.43413817405,1052.31185063365
"16843",511129,"25-34","primary and below",1.98626081764941,1.97260276539541,7114.51076714714
"16844",511129,"25-34","secondary",1.90064380953531,1.73362064751888,3392.21008029409
"16845",511129,"25-34","hs and above",1.84281433180561,1.57893727413996,947.279152558769
"16846",511129,"35-49","primary and below",2.02625632862616,1.78772277855445,18777.6126245526
"16847",511129,"35-49","secondary",1.9280679283942,1.64374039390725,8953.19564670601
"16848",511129,"35-49","hs and above",1.88638083891361,1.48981837044958,2500.19172874141
"16849",511132,"15-24","primary and below",1.88362158221608,2.02833204445684,7891.06326876114
"16850",511132,"15-24","secondary",1.81802036867585,1.78943322407549,2708.19961945855
"16851",511132,"15-24","hs and above",1.7144055059076,1.57593040053947,1200.7371117803
"16852",511132,"25-34","primary and below",1.96239475225789,2.10629139769951,5830.02454042878
"16853",511132,"25-34","secondary",1.86841222508002,1.91935634003516,2000.85460020675
"16854",511132,"25-34","hs and above",1.83110723234066,1.75419639219301,887.120859364466
"16855",511132,"35-49","primary and below",2.03518176680735,1.95885087301172,11692.1483212729
"16856",511132,"35-49","secondary",1.88188788753851,1.76070760504213,4012.7256056452
"16857",511132,"35-49","hs and above",1.85065829029703,1.58323023139187,1779.12607308194
"16858",511133,"15-24","primary and below",2.56975793303249,2.77906968440256,10919.3209798051
"16859",511133,"15-24","secondary",2.40805388098732,2.59216683262203,2001.92354375946
"16860",511133,"15-24","hs and above",2.35118566132679,2.42511997495539,928.755476435433
"16861",511133,"25-34","primary and below",2.60567028457244,2.92022325033665,9656.30637983054
"16862",511133,"25-34","secondary",2.53727186095786,2.73603210218843,1770.36531147768
"16863",511133,"25-34","hs and above",2.50877977563334,2.48700659642787,821.328308691782
"16864",511133,"35-49","primary and below",2.65569816574393,2.74310792340578,15453.401481961
"16865",511133,"35-49","secondary",2.57216577443382,2.53287853295397,2833.19157987215
"16866",511133,"35-49","hs and above",2.49808327654776,2.36807228451377,1314.40693816685
"16867",511181,"15-24","primary and below",1.81097943769232,1.51866392052717,13105.4369795283
"16868",511181,"15-24","secondary",1.67369539514337,1.30072279337567,10980.9471361533
"16869",511181,"15-24","hs and above",1.62144551713705,1.07265326236036,6320.61588431839
"16870",511181,"25-34","primary and below",1.90937365665958,1.66709227039093,11074.1308827573
"16871",511181,"25-34","secondary",1.82160637327302,1.41651314862892,9278.93102628746
"16872",511181,"25-34","hs and above",1.77265245163269,1.3087502187398,5340.93809095527
"16873",511181,"35-49","primary and below",1.96735714200567,1.50354156421433,29440.7928831394
"16874",511181,"35-49","secondary",1.83512861874569,1.33195904562709,24668.2190606229
"16875",511181,"35-49","hs and above",1.7840463758182,1.15397304575699,14198.9880562377
"16876",511302,"15-24","primary and below",1.88811737968808,1.90476255974146,26576.7460873962
"16877",511302,"15-24","secondary",1.78355124205324,1.60105186727734,24212.1423370275
"16878",511302,"15-24","hs and above",1.70297996122148,1.46177200345984,23818.1115755763
"16879",511302,"25-34","primary and below",1.99655022532343,2.01109234446295,17055.6117511553
"16880",511302,"25-34","secondary",1.87279390674571,1.81536902528569,15538.1286334331
"16881",511302,"25-34","hs and above",1.83670856395135,1.59577592500149,15285.2596154116
"16882",511302,"35-49","primary and below",1.99088354542407,1.81522037348865,33424.0689028416
"16883",511302,"35-49","secondary",1.89952178961198,1.64634815718014,30450.2406388268
"16884",511302,"35-49","hs and above",1.88028293764381,1.43523490962766,29954.6904583316
"16885",511303,"15-24","primary and below",1.79726152617649,1.86089614925386,22873.9103873774
"16886",511303,"15-24","secondary",1.69746921633865,1.65348280048033,16959.7142075827
"16887",511303,"15-24","hs and above",1.64314143463826,1.49094890950568,6815.37540503991
"16888",511303,"25-34","primary and below",1.86103843443302,2.00751594639597,15644.8152118944
"16889",511303,"25-34","secondary",1.82712089689117,1.82341442776684,11599.7479368718
"16890",511303,"25-34","hs and above",1.78077885232394,1.64984160933714,4661.43685123376
"16891",511303,"35-49","primary and below",1.90247977502429,1.93034819941994,34703.3834327905
"16892",511303,"35-49","secondary",1.83178098927103,1.61501173093112,25730.6011560261
"16893",511303,"35-49","hs and above",1.77380128229358,1.49076092585141,10340.0154111834
"16894",511304,"15-24","primary and below",1.86032636789794,1.95843526843539,23570.2324605875
"16895",511304,"15-24","secondary",1.75726414837823,1.73746521518164,18323.9423432183
"16896",511304,"15-24","hs and above",1.69980828998594,1.56701966462031,4861.82519619418
"16897",511304,"25-34","primary and below",1.96265749633478,2.09729220610162,17751.7787207445
"16898",511304,"25-34","secondary",1.84762578770476,1.87760753948635,13800.5668935343
"16899",511304,"25-34","hs and above",1.82131262497587,1.70602035039193,3661.65438572123
"16900",511304,"35-49","primary and below",1.98842494874284,1.9656953750573,38440.0063268282
"16901",511304,"35-49","secondary",1.91721649389182,1.70888784486818,29883.9844190569
"16902",511304,"35-49","hs and above",1.87396583774239,1.57947101307328,7929.00925411487
"16903",511321,"15-24","primary and below",1.89751425293138,2.00893368024113,39450.4007571246
"16904",511321,"15-24","secondary",1.83532630129567,1.73895940916584,18743.8593534666
"16905",511321,"15-24","hs and above",1.78850816724721,1.58554055367907,7841.73988940876
"16906",511321,"25-34","primary and below",1.99348959279376,2.11373051191243,27566.7710421097
"16907",511321,"25-34","secondary",1.89714782262471,1.93159165837171,13097.653492131
"16908",511321,"25-34","hs and above",1.87731849259593,1.72767121157568,5479.57546575925
"16909",511321,"35-49","primary and below",2.02058950502472,1.94183455607786,70531.7200404083
"16910",511321,"35-49","secondary",1.95048390122271,1.76777157896019,33511.3614823479
"16911",511321,"35-49","hs and above",1.93274596212512,1.57747511879977,14019.9184772437
"16912",511322,"15-24","primary and below",2.01875497217037,1.96623263832187,31765.1268999954
"16913",511322,"15-24","secondary",1.9163261535316,1.74927960091922,20652.0353714958
"16914",511322,"15-24","hs and above",1.86121888980849,1.62097474967967,4714.83772850883
"16915",511322,"25-34","primary and below",2.08763212941983,2.11620359564655,21737.1945894108
"16916",511322,"25-34","secondary",2.03520950007978,1.92018905408174,14132.3947154659
"16917",511322,"25-34","hs and above",1.97819751652565,1.73459575688689,3226.41069512324
"16918",511322,"35-49","primary and below",2.14529398033481,1.96029964224072,52245.215980744
